scope,group,seed,metric,op,update,n_seeds,q25,median,q75,mean,std,last
across_seeds,f1,,loss,,1,26,0.07594523392617702,0.08367382362484932,0.09245838411152363,0.08533041580365254,0.015423349878071157,nan
across_seeds,f1,,loss,,2,26,0.07119817659258842,0.07893400266766548,0.09134843945503235,0.07880134293093131,0.01404968589947856,nan
across_seeds,f1,,loss,,3,26,0.06943601183593273,0.07389009743928909,0.08305302448570728,0.07534751281715356,0.01240905265028263,nan
across_seeds,f1,,loss,,4,26,0.06431303918361664,0.07008185237646103,0.07425517775118351,0.06911879992828919,0.010828059725036372,nan
across_seeds,f1,,loss,,5,26,0.05795763619244099,0.06641639024019241,0.07391059026122093,0.06471662459751734,0.011958241040191726,nan
across_seeds,f1,,loss,,6,26,0.05733707081526518,0.06561557948589325,0.0697151031345129,0.06266149993126209,0.011696655376067237,nan
across_seeds,f1,,loss,,7,26,0.05392495170235634,0.06047218292951584,0.06604459881782532,0.0597466087828462,0.010549433039350143,nan
across_seeds,f1,,loss,,8,26,0.050494492053985596,0.057158272713422775,0.06419693492352962,0.056638640279953294,0.010716248095003102,nan
across_seeds,f1,,loss,,9,26,0.04754508752375841,0.053445374593138695,0.06116579659283161,0.05381862489649883,0.00949880890088727,nan
across_seeds,f1,,loss,,10,26,0.0472651906311512,0.051833298057317734,0.053758829832077026,0.050526684150099754,0.008033572255682369,nan
across_seeds,f1,,loss,,11,26,0.04579268302768469,0.04956541769206524,0.05396376270800829,0.049666506524842516,0.008740621489626997,nan
across_seeds,f1,,loss,,12,26,0.043966665863990784,0.048029642552137375,0.05341391544789076,0.047964342225056425,0.007452150738004453,nan
across_seeds,f1,,loss,,13,26,0.04241848923265934,0.047147754579782486,0.051048225723207,0.046589293875373326,0.006900019120935149,nan
across_seeds,f1,,loss,,14,26,0.043402498587965965,0.04894629307091236,0.05252985842525959,0.04729728895024611,0.007429005704876173,nan
across_seeds,f1,,loss,,15,26,0.044340903870761395,0.046512825414538383,0.04881200194358826,0.04645253402682451,0.007311144032691876,nan
across_seeds,f1,,loss,,16,26,0.038620649836957455,0.043718647211790085,0.04816020838916302,0.043051067453164324,0.006507326907142886,nan
across_seeds,f1,,loss,,17,26,0.04024218115955591,0.04280230216681957,0.04664736706763506,0.043396012141154364,0.007275192978641965,nan
across_seeds,f1,,loss,,18,26,0.039764855057001114,0.04237218387424946,0.045380836352705956,0.04192712645118053,0.005783305529503086,nan
across_seeds,f1,,loss,,19,26,0.03850782662630081,0.04217388108372688,0.045645348727703094,0.042129078736672036,0.005465494214109782,nan
across_seeds,f1,,loss,,20,26,0.038681053556501865,0.04071752540767193,0.043633936904370785,0.040740202682522625,0.0039300634542688406,nan
across_seeds,f1,,loss,,21,26,0.037653109058737755,0.04239868000149727,0.04478992335498333,0.04142287875024172,0.0063588487740445865,nan
