upd,loss,best,alpha_sum,prob_0,prob_1,prob_2,prob_3,alpha_0,alpha_1,alpha_2,alpha_3,pused_0,pused_1,pused_2,pused_3,ophist_0,ophist_1,ophist_2,ophist_3,opimp_0,opimp_1,opimp_2,opimp_3
1,0.21605618298053741,1670247112.1224544,8.0,0.2659028172492981,0.23857221007347107,0.23760849237442017,0.25791648030281067,2.1272225379943848,1.9085776805877686,1.9008679389953613,2.0633318424224854,0.3370000123977661,0.08799999952316284,0.3959999978542328,0.17800000309944153,0.30000001192092896,0.14000000059604645,0.3799999952316284,0.18000000715255737,0.0,0.0,0.10499999672174454,0.22200000286102295
2,0.22199448943138123,1010996897.9813323,7.966386318206787,0.2664002478122711,0.2344759851694107,0.23656535148620605,0.2625584304332733,2.1222472190856934,1.8679262399673462,1.8845709562301636,2.091641902923584,0.2029999941587448,0.2409999966621399,0.4569999873638153,0.09799999743700027,0.3199999928474426,0.18000000715255737,0.3799999952316284,0.11999999731779099,0.06199999898672104,0.22200000286102295,0.2630000114440918,0.3330000042915344
3,0.18205752968788147,1010996897.9813323,7.932773590087891,0.26584741473197937,0.2367306649684906,0.2373744249343872,0.26004743576049805,2.108907461166382,1.877930760383606,1.8830375671386719,2.0628974437713623,0.3269999921321869,0.050999999046325684,0.45399999618530273,0.1679999977350235,0.41999998688697815,0.05999999865889549,0.4399999976158142,0.07999999821186066,0.1899999976158142,0.0,0.0,0.0
4,0.1702764928340912,1010996897.9813323,7.8991594314575195,0.26565930247306824,0.23588791489601135,0.23811927437782288,0.26033347845077515,2.098485231399536,1.863316297531128,1.8809421062469482,2.056415557861328,0.21699999272823334,0.5630000233650208,0.10100000351667404,0.11900000274181366,0.25999999046325684,0.5400000214576721,0.10000000149011612,0.10000000149011612,0.15399999916553497,0.03700000047683716,0.20000000298023224,0.0
5,0.16120508313179016,1010996897.9813323,7.865545749664307,0.26649871468544006,0.23580823838710785,0.2385321706533432,0.25916093587875366,2.0961577892303467,1.8547605276107788,1.876185655593872,2.0384421348571777,0.12999999523162842,0.1940000057220459,0.367000013589859,0.3089999854564667,0.18000000715255737,0.10000000149011612,0.46000000834465027,0.25999999046325684,0.22200000286102295,0.0,0.21699999272823334,0.30799999833106995
6,0.16274507343769073,534754231.4563982,7.831932544708252,0.266994833946228,0.23559586703777313,0.23898227512836456,0.2584270238876343,2.091085433959961,1.8451709747314453,1.8716930150985718,2.0239830017089844,0.40700000524520874,0.12200000137090683,0.23899999260902405,0.23100000619888306,0.4000000059604645,0.14000000059604645,0.23999999463558197,0.2199999988079071,0.05000000074505806,0.0,0.4169999957084656,0.18199999630451202
7,0.1525435447692871,534754231.4563982,7.798318862915039,0.2667408287525177,0.2344772070646286,0.23884627223014832,0.2599357068538666,2.080130100250244,1.8285280466079712,1.8625993728637695,2.0270614624023438,0.21299999952316284,0.21899999678134918,0.2160000056028366,0.35199999809265137,0.2800000011920929,0.18000000715255737,0.18000000715255737,0.36000001430511475,0.14300000667572021,0.11100000143051147,0.4440000057220459,0.27799999713897705
8,0.11772678047418594,534754231.4563982,7.764705657958984,0.2661202549934387,0.23402515053749084,0.23916631937026978,0.26068827509880066,2.066345453262329,1.8171364068984985,1.8570560216903687,2.024167776107788,0.164000004529953,0.21899999678134918,0.1599999964237213,0.4580000042915344,0.07999999821186066,0.20000000298023224,0.11999999731779099,0.6000000238418579,0.25,0.0,0.16699999570846558,0.06700000166893005
9,0.13183772563934326,534754231.4563982,7.73109245300293,0.26743626594543457,0.23250731825828552,0.24025000631809235,0.259806364774704,2.0675745010375977,1.7975355386734009,1.857395052909851,2.008587121963501,0.29899999499320984,0.14800000190734863,0.2639999985694885,0.289000004529953,0.30000001192092896,0.05999999865889549,0.2800000011920929,0.36000001430511475,0.3330000042915344,0.3330000042915344,0.14300000667572021,0.11100000143051147
10,0.14006751775741577,534754231.4563982,7.697478294372559,0.2667492628097534,0.23270046710968018,0.23920823633670807,0.2613420784473419,2.0532965660095215,1.7912068367004395,1.8413002490997314,2.0116748809814453,0.03700000047683716,0.29600000381469727,0.4129999876022339,0.2540000081062317,0.019999999552965164,0.23999999463558197,0.5,0.23999999463558197,0.0,0.08299999684095383,0.20000000298023224,0.25
